|ReviewDate|ReviewRating|ReviewText|ReviewTitle
0|on may 8, 2016|5.0 out of 5 stars|turbo tax comes through again. works great!|works great!
1|on may 8, 2016|5.0 out of 5 stars|great product, good price, excellent value - will buy it again next year|five stars
2|on may 8, 2016|4.0 out of 5 stars|glad they fixed the issues from last year but i still think the price should be lower. next year i will look into cheaper ones but this did the job for 2015.|better than last year
3|on may 8, 2016|5.0 out of 5 stars|i was nervous about trying this on my own; in hindsight, i should never have waited so long to buy this product. it definitely took longer than i expected to submit it, but it was worth saving the cash that would have gone to a tax professional.|worked perfectly
4|on may 8, 2016|5.0 out of 5 stars|excellent!|excellent!
5|on may 7, 2016|5.0 out of 5 stars|use it every year. very good program and easy to use.|very good program and easy to use
6|on may 7, 2016|3.0 out of 5 stars|don't care for the hidden fees will not use next year!!!|three stars
7|on may 7, 2016|5.0 out of 5 stars|use it every year. what can i say?  will keep using.|repeat customer.
8|on may 7, 2016|5.0 out of 5 stars|great, as always.  highly recommend to anyone doing their own taxes.|great product!
9|on may 7, 2016|5.0 out of 5 stars|i found it easy to use and very helpful.|five stars
10|on may 6, 2016|5.0 out of 5 stars|worked well and was easy to use.|five stars
11|on may 6, 2016|2.0 out of 5 stars|easy to do your taxes but they nickel and dime you when it comes to filing your state return. $25 to process a state return? will be looking for other options next year.|not as good a value as it used to be
12|on may 6, 2016|5.0 out of 5 stars|we love turbotax and have used it for at least 6 years.  it's user friendly, very easy to use and also very thorough.  it's saved us hundreds of dollars as we no longer have to use a cpa to have a complex taxes done.  we'll definitely buy it again and do highly recommend it.  way to go, turbotax!|easy, thorough, user-friendly and outstanding
13|on may 5, 2016|3.0 out of 5 stars|deceptive that the electronic filing of the first state was not included in the price.  wanted another $45 for the second state, but at least filled them out correctly.  they wanted another $90 to file the two states electronically.  so i would have rated them excellent if they weren't greedy and deceptive!|so i would have rated them excellent if they weren't greedy and deceptive
14|on may 5, 2016|5.0 out of 5 stars|great|five stars
15|on may 5, 2016|5.0 out of 5 stars|turbo tax got er done again this year.|five stars
16|on may 4, 2016|5.0 out of 5 stars|really worth the costs|five stars
17|on may 4, 2016|5.0 out of 5 stars|great product i finished 8 tax returns very modified and lead you step by step how to finish your state and federal taxex|great product i finished 8 tax returns very modified and ...
18|on may 4, 2016|5.0 out of 5 stars|i went back to turbo tax this time after changing to h&r block last year like many others because intuit was trying to rip us all off. this is the turbo tax we've all come to love.  hopefully they will keep it this way|back to normal
19|on may 4, 2016|5.0 out of 5 stars|quick and easy - sure beats going to h&r block and getting robbed.|five stars
20|on may 3, 2016|5.0 out of 5 stars|great product.|five stars
21|on may 3, 2016|4.0 out of 5 stars|"have used turbo tax for years and will continue to do so -- it makes the tax task
            
            easy to understand and file."|... to do so -- it makes the tax task easy to understand and file
22|on may 3, 2016|4.0 out of 5 stars|works well...|four stars
23|on may 3, 2016|4.0 out of 5 stars|it is ok, easy enough|easy
24|on may 2, 2016|5.0 out of 5 stars|i always do my own taxes and turbotax|five stars
25|on may 2, 2016|3.0 out of 5 stars|not as good as previous years.|three stars
26|on may 2, 2016|4.0 out of 5 stars|perfect|four stars
27|on may 2, 2016|5.0 out of 5 stars|will never get h&r block again...nothing but troubles.  love this.|love this.
28|on may 2, 2016|5.0 out of 5 stars|worked as advertised, even quicker this year.|five stars
29|on may 2, 2016|5.0 out of 5 stars|so easy!|five stars
30|on may 2, 2016|5.0 out of 5 stars|works just like it was supposed to.  quick shipping,|five stars
31|on may 2, 2016|5.0 out of 5 stars|so very easy and it just becomes a matter of following instructions!  love it.|five stars
32|on may 1, 2016|5.0 out of 5 stars|can't go wrong with turbo tax software. exactly as ordered|five stars
33|on may 1, 2016|5.0 out of 5 stars|another year of doing my personal taxes with this software.|another tax year past
34|on may 1, 2016|4.0 out of 5 stars|i have used turbotax for a number of years and have never had any problem with it.  i switched from having my taxes done by an outside source after the cost got so high that i was spending more on having them done than i was saving.|easy to use, and easy to file
35|on may 1, 2016|4.0 out of 5 stars|i was able to complete my personal tax return because it provided the forms needed that were not available with the online version.|complete tax program
36|on may 1, 2016|4.0 out of 5 stars|i've been using turbotax for several years and find it very simple to use. it leads you through your taxes using a question-and-answer approach that provides help at each step if you're unsure how to answer.  in addition, if you find you need an upgraded version for a more complex tax situation it's easy to upgrade online directly through the program.  it's also easy and fast to file online. my only glitch was forgetting my password for the turbotax site when i went to pay for my state tax online filing!  you can also get a text to your smartphone when your return is accepted.  this is a very good program for those with basic tax needs.|if you find you need an upgraded version for a more complex tax situation it's easy to upgrade online directly through the progr
37|on april 30, 2016|5.0 out of 5 stars|still good|five stars
38|on april 30, 2016|5.0 out of 5 stars|have used turbotax for many, many years.  i'm glad they added back the features they took out of the program last year that caused so much negative feedback.  it's always been a great product for getting taxes done---again this year as well. fully satisfied; all went well; will order again. the deluxe edition does it for me. one note is that i don't have any significant stock holdings or investments, only retirement funds and iras. handles kids in college and always includes updates.|product does the trick; user-friendly and complete
